"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: base","Param: distribution","Param: indexType","Param: max","Param: seed"
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,156847660.000000,NaN,"#",4,"UNIFORM(0,100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,1491.501644,196.184431,"ms/op",4,"UNIFORM(0,100000)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,25000.000000,NaN,"#",4,"UNIFORM(0,100000)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,130799920.000000,NaN,"#",4,"UNIFORM(0,100000)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,9688.399118,272.410633,"ms/op",4,"UNIFORM(1000000,1100000)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,480.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,195168190.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,15598.900768,60.867847,"ms/op",4,"UNIFORM(1000000,1100000)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,465.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,195135700.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,10098.488288,143.273811,"ms/op",4,"UNIFORM(1000000,1100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,165.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,194485900.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,10105.289351,158.555106,"ms/op",4,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,165.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,194485900.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,1402.448802,201.920745,"ms/op",4,"UNIFORM(1000000,1100000)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,25000.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,130799920.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,11256.957705,168.534749,"ms/op",4,EXP(0.0001),SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,480.000000,NaN,"#",4,EXP(0.0001),SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,146513460.000000,NaN,"#",4,EXP(0.0001),SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,18010.560437,56.796168,"ms/op",4,EXP(0.0001),GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,465.000000,NaN,"#",4,EXP(0.0001),GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,146480970.000000,NaN,"#",4,EXP(0.0001),GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,10601.278242,254.102120,"ms/op",4,EXP(0.0001),TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,135.000000,NaN,"#",4,EXP(0.0001),TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,145766190.000000,NaN,"#",4,EXP(0.0001),TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,10032.213203,74.306479,"ms/op",4,EXP(0.0001),RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,135.000000,NaN,"#",4,EXP(0.0001),RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,145766190.000000,NaN,"#",4,EXP(0.0001),RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,1128.922091,53.092116,"ms/op",4,EXP(0.0001),BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,26205.000000,NaN,"#",4,EXP(0.0001),BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,116873080.000000,NaN,"#",4,EXP(0.0001),BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,11720.249962,188.042758,"ms/op",10,"NORMAL(100000,10)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,810.000000,NaN,"#",10,"NORMAL(100000,10)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,289813160.000000,NaN,"#",10,"NORMAL(100000,10)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,19223.808371,171.278487,"ms/op",10,"NORMAL(100000,10)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,810.000000,NaN,"#",10,"NORMAL(100000,10)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,289813160.000000,NaN,"#",10,"NORMAL(100000,10)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,12939.323073,53.269293,"ms/op",10,"NORMAL(100000,10)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,225.000000,NaN,"#",10,"NORMAL(100000,10)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,282283840.000000,NaN,"#",10,"NORMAL(100000,10)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,13179.452337,83.472553,"ms/op",10,"NORMAL(100000,10)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,225.000000,NaN,"#",10,"NORMAL(100000,10)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,282283840.000000,NaN,"#",10,"NORMAL(100000,10)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,221.275469,0.865476,"ms/op",10,"NORMAL(100000,10)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,30.000000,NaN,"#",10,"NORMAL(100000,10)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,17123800.000000,NaN,"#",10,"NORMAL(100000,10)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,12145.852760,151.409678,"ms/op",10,"UNIFORM(0,100000)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,810.000000,NaN,"#",10,"UNIFORM(0,100000)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,283541920.000000,NaN,"#",10,"UNIFORM(0,100000)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,19800.272080,225.527933,"ms/op",10,"UNIFORM(0,100000)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,810.000000,NaN,"#",10,"UNIFORM(0,100000)",GENERIC,10000000,42
