"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: base","Param: distribution","Param: indexType","Param: max","Param: seed"
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,282283840.000000,NaN,"#",10,"NORMAL(100000,10)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,19170194.253000,1640738.944350,"us/op",10,"NORMAL(100000,10)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,225.000000,NaN,"#",10,"NORMAL(100000,10)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,282283840.000000,NaN,"#",10,"NORMAL(100000,10)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,10804512.933400,456633.549739,"us/op",10,"NORMAL(100000,10)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,810.000000,NaN,"#",10,"NORMAL(100000,10)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,1012499790.000000,NaN,"#",10,"NORMAL(100000,10)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,19617055.011400,1366023.098956,"us/op",10,"UNIFORM(0,100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,180.000000,NaN,"#",10,"UNIFORM(0,100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,225819760.000000,NaN,"#",10,"UNIFORM(0,100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,15638756.756600,2183408.930529,"us/op",10,"UNIFORM(0,100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,180.000000,NaN,"#",10,"UNIFORM(0,100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,225819760.000000,NaN,"#",10,"UNIFORM(0,100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,10386747.478000,516347.129566,"us/op",10,"UNIFORM(0,100000)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,810.000000,NaN,"#",10,"UNIFORM(0,100000)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,1012499770.000000,NaN,"#",10,"UNIFORM(0,100000)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,19231337.375400,1281142.808593,"us/op",10,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,270.000000,NaN,"#",10,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,282372280.000000,NaN,"#",10,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,21352708.064600,1640691.161008,"us/op",10,"UNIFORM(1000000,1100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,270.000000,NaN,"#",10,"UNIFORM(1000000,1100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,282372280.000000,NaN,"#",10,"UNIFORM(1000000,1100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,10397728.180600,901094.798567,"us/op",10,"UNIFORM(1000000,1100000)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,810.000000,NaN,"#",10,"UNIFORM(1000000,1100000)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,1006249770.000000,NaN,"#",10,"UNIFORM(1000000,1100000)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,18450391.820800,1929998.293118,"us/op",10,EXP(0.0001),RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,225.000000,NaN,"#",10,EXP(0.0001),RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,250336890.000000,NaN,"#",10,EXP(0.0001),RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,16054732.494600,1853605.660455,"us/op",10,EXP(0.0001),TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,225.000000,NaN,"#",10,EXP(0.0001),TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,250336890.000000,NaN,"#",10,EXP(0.0001),TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,10655262.306200,493072.861161,"us/op",10,EXP(0.0001),UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,810.000000,NaN,"#",10,EXP(0.0001),UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,1012499875.000000,NaN,"#",10,EXP(0.0001),UNCOMPRESSED,10000000,42
